Year,date,chatGPT,Generative AI,GPT-4,Artificial Intelligence,isPartial,Country Name,Country Code,Indicator Name,Internet Usage (%)
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Aruba,ABW,Individuals using the Internet (% of population),
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Africa Eastern and Southern,AFE,Individuals using the Internet (% of population),22.8
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Afghanistan,AFG,Individuals using the Internet (% of population),17.6
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Africa Western and Central,AFW,Individuals using the Internet (% of population),28.9
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Angola,AGO,Individuals using the Internet (% of population),32.1294
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Albania,ALB,Individuals using the Internet (% of population),68.5504
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Andorra,AND,Individuals using the Internet (% of population),90.7187
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Arab World,ARB,Individuals using the Internet (% of population),60.0783092421506
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,United Arab Emirates,ARE,Individuals using the Internet (% of population),99.15
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Argentina,ARG,Individuals using the Internet (% of population),79.947
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Armenia,ARM,Individuals using the Internet (% of populatio3n),66.5439
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,American Samoa,ASM,Individuals using the Internet (% of population),
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Antigua and Barbuda,ATG,Individuals using the Internet (% of population),83.2
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Australia,AUS,Individuals using the Internet (% of population),93.6099
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Austria,AUT,Individuals using the Internet (% of population),87.7522
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Azerbaijan,AZE,Individuals using the Internet (% of population),81.1
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Burundi,BDI,Individuals using the Internet (% of population),6.1
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Belgium,BEL,Individuals using the Internet (% of population),90.2754
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Benin,BEN,Individuals using the Internet (% of population),20.5
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Burkina Faso,BFA,Individuals using the Internet (% of population),9.27181
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Bangladesh,BGD,Individuals using the Internet (% of population),30.4
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Bulgaria,BGR,Individuals using the Internet (% of population),67.947
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Bahrain,BHR,Individuals using the Internet (% of population),99.7015
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,"Bahamas, The",BHS,Individuals using the Internet (% of population),90.6933
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),69.9463
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Belarus,BLR,Individuals using the Internet (% of population),82.7892
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Belize,BLZ,Individuals using the Internet (% of population),53.3
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Bermuda,BMU,Individuals using the Internet (% of population),
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Bolivia,BOL,Individuals using the Internet (% of population),47.4748
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Brazil,BRA,Individuals using the Internet (% of population),73.9124
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Barbados,BRB,Individuals using the Internet (% of population),72.6
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Brunei Darussalam,BRN,Individuals using the Internet (% of population),95.0
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Bhutan,BTN,Individuals using the Internet (% of population),74.1794
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Botswana,BWA,Individuals using the Internet (% of population),64.8263
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Central African Republic,CAF,Individuals using the Internet (% of population),7.50916
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Canada,CAN,Individuals using the Internet (% of population),91.9129
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Central Europe and the Baltics,CEB,Individuals using the Internet (% of population),78.7307517785791
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Switzerland,CHE,Individuals using the Internet (% of population),93.1461
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Channel Islands,CHI,Individuals using the Internet (% of population),
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Chile,CHL,Individuals using the Internet (% of population),85.0176
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,China,CHN,Individuals using the Internet (% of population),64.0809
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Cote d'Ivoire,CIV,Individuals using the Internet (% of population),36.289
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Cameroon,CMR,Individuals using the Internet (% of population),36.5392
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),16.4812
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,"Congo, Rep.",COG,Individuals using the Internet (% of population),
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Colombia,COL,Individuals using the Internet (% of population),65.0069
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Comoros,COM,Individuals using the Internet (% of population),16.3838
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Cabo Verde,CPV,Individuals using the Internet (% of population),61.9434
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Costa Rica,CRI,Individuals using the Internet (% of population),81.2026
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Caribbean small states,CSS,Individuals using the Internet (% of population),67.6098907600119
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Cuba,CUB,Individuals using the Internet (% of population),67.9708
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Curacao,CUW,Individuals using the Internet (% of population),
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Cayman Islands,CYM,Individuals using the Internet (% of population),
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Cyprus,CYP,Individuals using the Internet (% of population),86.0636
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Czechia,CZE,Individuals using the Internet (% of population),80.8669
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Germany,DEU,Individuals using the Internet (% of population),88.1345
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Djibouti,DJI,Individuals using the Internet (% of population),59.342
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Dominica,DMA,Individuals using the Internet (% of population),73.3819
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Denmark,DNK,Individuals using the Internet (% of population),98.0464
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Dominican Republic,DOM,Individuals using the Internet (% of population),79.7155
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Algeria,DZA,Individuals using the Internet (% of population),58.9776
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,East Asia & Pacific (excluding high income),EAP,Individuals using the Internet (% of population),60.6550812533366
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Early-demographic dividend,EAR,Individuals using the Internet (% of population),39.7003096831546
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,East Asia & Pacific,EAS,Individuals using the Internet (% of population),63.8
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Europe & Central Asia (excluding high income),ECA,Individuals using the Internet (% of population),73.4571442869478
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Europe & Central Asia,ECS,Individuals using the Internet (% of population),80.3
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Ecuador,ECU,Individuals using the Internet (% of population),59.2
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,"Egypt, Arab Rep.",EGY,Individuals using the Internet (% of population),57.2829
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Euro area,EMU,Individuals using the Internet (% of population),83.3474472889691
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Eritrea,ERI,Individuals using the Internet (% of population),11.2
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Spain,ESP,Individuals using the Internet (% of population),90.7187
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Estonia,EST,Individuals using the Internet (% of population),90.2289
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Ethiopia,ETH,Individuals using the Internet (% of population),16.0
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,European Union,EUU,Individuals using the Internet (% of population),82.7592730426534
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Fragile and conflict affected situations,FCS,Individuals using the Internet (% of population),28.0
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Finland,FIN,Individuals using the Internet (% of population),89.6074
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Fiji,FJI,Individuals using the Internet (% of population),77.1867
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,France,FRA,Individuals using the Internet (% of population),83.3397
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Faroe Islands,FRO,Individuals using the Internet (% of population),
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,"Micronesia, Fed. Sts.",FSM,Individuals using the Internet (% of population),38.0
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Gabon,GAB,Individuals using the Internet (% of population),68.6855
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,United Kingdom,GBR,Individuals using the Internet (% of population),92.5166
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Georgia,GEO,Individuals using the Internet (% of population),68.8467
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Ghana,GHA,Individuals using the Internet (% of population),22.0732
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Gibraltar,GIB,Individuals using the Internet (% of population),
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Guinea,GIN,Individuals using the Internet (% of population),23.3663
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,"Gambia, The",GMB,Individuals using the Internet (% of population),35.6
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Guinea-Bissau,GNB,Individuals using the Internet (% of population),22.9201
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Equatorial Guinea,GNQ,Individuals using the Internet (% of population),49.1337
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Greece,GRC,Individuals using the Internet (% of population),75.6712
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Grenada,GRD,Individuals using the Internet (% of population),69.6122
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Greenland,GRL,Individuals using the Internet (% of population),
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Guatemala,GTM,Individuals using the Internet (% of population),44.401
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Guam,GUM,Individuals using the Internet (% of population),
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Guyana,GUY,Individuals using the Internet (% of population),61.1
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,High income,HIC,Individuals using the Internet (% of population),87.6
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,"Hong Kong SAR, China",HKG,Individuals using the Internet (% of population),91.7434
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Honduras,HND,Individuals using the Internet (% of population),39.3884
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Heavily indebted poor countries (HIPC),HPC,Individuals using the Internet (% of population),19.9249355460514
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Croatia,HRV,Individuals using the Internet (% of population),79.0798
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Haiti,HTI,Individuals using the Internet (% of population),39.262
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Hungary,HUN,Individuals using the Internet (% of population),80.3717
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,IBRD only,IBD,Individuals using the Internet (% of population),54.6
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,IDA & IBRD total,IBT,Individuals using the Internet (% of population),46.9
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,IDA total,IDA,Individuals using the Internet (% of population),25.3
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,IDA blend,IDB,Individuals using the Internet (% of population),26.6
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Indonesia,IDN,Individuals using the Internet (% of population),47.6906
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,IDA only,IDX,Individuals using the Internet (% of population),24.7
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Isle of Man,IMN,Individuals using the Internet (% of population),
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,India,IND,Individuals using the Internet (% of population),29.5235
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Not classified,INX,Individuals using the Internet (% of population),
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Ireland,IRL,Individuals using the Internet (% of population),87.0001
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,"Iran, Islamic Rep.",IRN,Individuals using the Internet (% of population),72.4509
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Iraq,IRQ,Individuals using the Internet (% of population),44.3263
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Iceland,ISL,Individuals using the Internet (% of population),99.5049
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Israel,ISR,Individuals using the Internet (% of population),86.7879
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Italy,ITA,Individuals using the Internet (% of population),67.8507
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Jamaica,JAM,Individuals using the Internet (% of population),70.841
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Jordan,JOR,Individuals using the Internet (% of population),70.0847
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Japan,JPN,Individuals using the Internet (% of population),92.7304
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Kazakhstan,KAZ,Individuals using the Internet (% of population),81.8776
2019,2019-12-15 00:00:00,0.0,0.0,0.0,0.6,0.0,Kenya,KEN,Individuals using the Internet (% of population),22.6688
